,Loss
1228,183.93799
1229,191.45193
1230,175.1832
1231,194.14299
1232,164.78824
1233,176.41704
1234,167.48799
1235,211.15231
1236,184.07936
1237,178.32748
1238,179.60764
1239,222.22057
1240,172.83621
1241,162.17514
1242,171.2128
1243,181.36562
1244,202.75964
1245,170.08394
1246,200.34384
1247,210.84885
1248,169.09369
1249,165.86667
1250,163.16995
1251,197.68913
1252,152.92007
1253,165.55116
1254,194.09323
1255,158.19429
1256,180.46199
1257,201.04895
1258,185.53876
1259,196.44551
1260,183.64973
1261,185.26591
1262,192.5707
1263,134.74478
1264,166.47672
1265,163.47945
1266,180.01468
1267,144.93857
1268,149.94983
1269,184.1513
1270,149.5232
1271,176.6637
1272,197.55185
1273,157.96036
1274,199.70535
1275,188.33148
1276,190.62112
1277,177.1399
1278,200.71068
1279,198.48148
1280,175.94669
1281,166.4562
1282,135.50192
1283,180.40674
1284,197.78436
1285,185.75952
1286,189.37021
1287,186.20633
1288,194.03091
1289,209.21606
1290,174.44608
1291,161.81244
1292,200.42084
1293,183.65129
1294,178.90466
1295,172.20872
1296,184.26686
1297,173.92226
1298,172.35083
1299,167.91602
1300,177.29886
1301,176.42487
1302,138.83412
1303,182.20705
1304,185.07907
1305,169.63
1306,178.1849
1307,176.13863
1308,171.84184
1309,206.0174
1310,186.57425
1311,204.4392
1312,171.80832
1313,176.0253
1314,196.71455
1315,193.66237
1316,143.93686
1317,179.91782
1318,154.91595
1319,151.27542
1320,168.41435
1321,183.18588
1322,139.98477
1323,168.35493
1324,188.93736
1325,162.38321
1326,190.40366
1327,164.88086
1328,176.37079
1329,189.08667
1330,190.38718
1331,202.00237
1332,178.92009
1333,191.60414
1334,176.78815
1335,163.02148
1336,175.9556
1337,197.29575
1338,164.43848
1339,210.84157
1340,168.99391
1341,185.18527
1342,195.0546
1343,186.7922
1344,176.56046
1345,178.7803
1346,147.9169
1347,187.87794
1348,180.2907
1349,170.14853
1350,167.80919
1351,156.328
1352,146.59137
1353,156.54547
1354,159.6994
1355,193.43002
1356,164.12778
1357,135.3472
1358,180.81787
1359,158.2341
1360,180.23657
1361,177.3158
1362,162.88693
1363,180.73242
1364,121.50794
1365,170.82741
1366,184.0799
1367,154.95796
1368,172.83005
1369,189.78836
1370,158.73999
1371,155.35419
1372,164.58617
1373,158.51617
1374,177.57498
1375,145.95052
1376,201.02075
1377,161.8205
1378,150.49304
1379,142.72308
1380,152.09244
1381,177.19897
1382,166.69879
1383,161.39731
1384,145.66461
1385,172.88504
1386,190.55153
1387,186.43564
1388,153.44844
1389,153.06143
1390,155.49275
1391,170.91129
1392,163.91919
1393,144.05307
1394,157.01154
1395,133.94485
1396,166.49117
1397,165.79536
1398,164.8239
1399,147.19507
1400,172.50702
1401,186.86621
1402,158.03363
1403,162.72217
1404,186.24643
1405,194.97705
1406,143.39856
1407,162.53354
1408,182.86539
1409,202.40982
1410,188.64906
1411,150.68637
1412,149.31241
1413,142.75827
1414,148.65167
1415,163.77698
1416,178.31491
1417,201.64587
1418,161.39429
1419,157.49623
1420,160.2156
1421,171.93494
1422,166.45995
1423,196.4522
1424,228.44688
1425,171.76114
1426,206.44385
1427,186.70197
1428,164.58003
1429,216.16644
1430,171.21838
1431,160.72382
1432,207.56876
1433,205.57918
1434,190.36734
1435,172.59311
1436,196.36758
1437,154.40488
1438,168.43243
1439,179.07695
1440,162.33171
1441,198.62009
1442,212.98306
1443,188.26282
1444,196.43466
1445,162.76724
1446,158.6279
1447,212.75238
1448,197.70119
1449,194.75143
1450,189.5825
1451,196.40912
1452,191.23267
1453,204.86969
1454,172.59473
1455,180.47083
1456,194.82538
1457,177.27737
1458,212.536
1459,183.26016
1460,201.03369
1461,183.9223
1462,183.95041
1463,240.86006
1464,166.73311
1465,192.34695
1466,218.48108
1467,180.73282
1468,201.23676
1469,194.2537
1470,181.78084
1471,182.55594
1472,211.05382
1473,171.75485
1474,199.24664
1475,181.17976
1476,185.39996
1477,200.51859
1478,205.7864
1479,211.87451
1480,182.49579
1481,191.45824
1482,187.85873
1483,170.03473
1484,177.21683
1485,208.94554
1486,155.92291
1487,160.48944
1488,170.94019
1489,179.03784
1490,178.29471
1491,188.59152
1492,167.28825
1493,212.80212
1494,146.99393
1495,194.56763
1496,196.15916
1497,208.12099
1498,179.98627
1499,195.27747
1500,180.36267
1501,191.927
1502,175.19087
1503,172.579
1504,228.43147
1505,215.87123
1506,183.2723
1507,173.43546
1508,186.05728
1509,174.45724
1510,164.42006
1511,186.2003
1512,183.26746
1513,151.43674
1514,198.30078
1515,176.19891
1516,173.00555
1517,180.6402
1518,175.62924
1519,188.4638
1520,187.54562
1521,193.9913
1522,171.74615
1523,149.30223
1524,196.42175
1525,170.8981
1526,163.97127
1527,175.16693
1528,200.96213
1529,185.88487
1530,154.42346
1531,170.18161
1532,154.7262
1533,171.94096
1534,169.6796
1535,170.35127
1536,186.46735
1537,200.34967
1538,176.88162
1539,163.24039
1540,165.99118
1541,165.91373
1542,188.64868
1543,157.26291
1544,166.7994
1545,176.13022
1546,191.03401
1547,155.04654
1548,147.18257
1549,175.79648
1550,182.98828
1551,172.77145
1552,178.07416
1553,174.19504
1554,201.83595
1555,165.64066
1556,195.96515
1557,140.19954
1558,166.5592
1559,190.37753
1560,144.31107
1561,157.4494
1562,170.54916
1563,178.534
1564,165.45462
1565,192.84738
1566,166.53395
1567,160.78122
1568,167.81657
